Id,Utente,Tipo
NULL,1,Carta di credito
NULL,2,Carta di credito
NULL,2,Carta di credito
NULL,3,ApplePay
NULL,4,ApplePay
NULL,5,Carta di credito
NULL,6,Carta di credito
NULL,7,ApplePay
NULL,8,Carta di credito
NULL,8,ApplePay
NULL,9,GooglePay
NULL,10,ApplePay
NULL,11,PayPal
NULL,11,Carta di credito
NULL,12,Carta di credito
NULL,12,PayPal
NULL,13,GooglePay
NULL,13,ApplePay
NULL,14,ApplePay
NULL,15,GooglePay
NULL,16,Carta di credito
NULL,16,PayPal
NULL,17,ApplePay
NULL,17,ApplePay
NULL,18,ApplePay
NULL,19,GooglePay
NULL,19,GooglePay
NULL,20,PayPal
NULL,21,ApplePay
NULL,21,PayPal
NULL,22,PayPal
NULL,22,ApplePay
NULL,23,ApplePay
NULL,24,ApplePay
NULL,25,Carta di credito
NULL,26,PayPal
NULL,26,GooglePay
NULL,27,ApplePay
NULL,28,Carta di credito
NULL,29,GooglePay
NULL,30,PayPal
NULL,30,Carta di credito
NULL,31,Carta di credito
NULL,31,PayPal
NULL,32,Carta di credito
NULL,32,Carta di credito
NULL,33,ApplePay
NULL,33,PayPal
NULL,34,PayPal
NULL,34,GooglePay
NULL,35,ApplePay
NULL,36,GooglePay
NULL,37,Carta di credito
NULL,38,GooglePay
NULL,39,ApplePay
NULL,39,PayPal
NULL,40,ApplePay
NULL,40,GooglePay
NULL,41,ApplePay
NULL,42,ApplePay
NULL,43,GooglePay
NULL,43,PayPal
NULL,44,PayPal
NULL,44,PayPal
NULL,45,GooglePay
NULL,45,GooglePay
NULL,46,GooglePay
NULL,47,GooglePay
NULL,47,ApplePay
NULL,48,Carta di credito
NULL,49,ApplePay
NULL,50,ApplePay
NULL,51,Carta di credito
NULL,51,GooglePay
NULL,52,Carta di credito
NULL,52,Carta di credito
NULL,53,Carta di credito
NULL,54,GooglePay
NULL,54,GooglePay
NULL,55,Carta di credito
NULL,56,GooglePay
NULL,56,Carta di credito
NULL,57,GooglePay
NULL,57,GooglePay
NULL,58,ApplePay
NULL,59,GooglePay
NULL,59,ApplePay
NULL,60,GooglePay
NULL,60,PayPal
NULL,61,Carta di credito
NULL,62,Carta di credito
NULL,62,ApplePay
NULL,63,Carta di credito
NULL,64,Carta di credito
NULL,65,GooglePay
NULL,66,ApplePay
NULL,67,ApplePay
NULL,67,Carta di credito
NULL,68,ApplePay
NULL,69,Carta di credito
NULL,69,PayPal
NULL,70,Carta di credito
NULL,70,Carta di credito
NULL,71,PayPal
NULL,71,PayPal
NULL,72,ApplePay
NULL,73,Carta di credito
NULL,74,GooglePay
NULL,74,Carta di credito
NULL,75,Carta di credito
NULL,76,Carta di credito
NULL,76,Carta di credito
NULL,77,Carta di credito
NULL,77,GooglePay
NULL,78,GooglePay
NULL,78,GooglePay
NULL,79,Carta di credito
NULL,80,GooglePay
NULL,81,Carta di credito
NULL,82,PayPal
NULL,82,GooglePay
NULL,83,Carta di credito
NULL,84,GooglePay
NULL,85,GooglePay
NULL,85,GooglePay
NULL,86,PayPal
NULL,86,GooglePay
NULL,87,Carta di credito
NULL,87,PayPal
NULL,88,ApplePay
NULL,89,ApplePay
NULL,90,Carta di credito
NULL,91,ApplePay
NULL,91,GooglePay
NULL,92,Carta di credito
NULL,93,GooglePay
NULL,94,ApplePay
NULL,95,PayPal
NULL,96,ApplePay
NULL,97,ApplePay
NULL,98,ApplePay
NULL,98,ApplePay
NULL,99,GooglePay
NULL,99,Carta di credito
NULL,100,Carta di credito
NULL,100,PayPal
